,EquipoAnf,EquipoVis,ResulAnf,ResulVis,Fecha,Estadio,Ciudad,Arbitro,Provincia,tmed,prec
6403,Osasuna,Sporting de Gijón,2,2,2017-04-22,Estadio El Sadar,Pamplona,Gil Manzano,NAVARRA,14.6,0.0
6404,Real Sociedad,Deportivo de La Coruña,1,0,2017-04-23,Anoeta,San Sebastián,Ocón Arraiz,GIPUZKOA,13.899999999999999,0.0
6405,Las Palmas,Alavés,1,1,2017-04-23,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Munuera Montero,LAS PALMAS,20.312500000000004,0.037500000000000006
6406,Real Madrid,Barcelona,2,3,2017-04-23,Estadio Santiago Bernabeu,Madrid,Hernández Hernández,MADRID,15.176923076923078,0.0
6407,Celta de Vigo,Betis,0,1,2017-04-23,Balaidos,Vigo,De Burgos Bengoetxea,PONTEVEDRA,16.9,0.0
6408,Eibar,Athletic Club,0,1,2017-04-24,Estadio Municipal de Ipurua,Eibar,Del Cerro Grande,GIPUZKOA,14.116666666666665,0.08333333333333333
6409,Sporting de Gijón,Espanyol,1,1,2017-04-25,El Molinón,Gijón,Melero López,ASTURIAS,9.272727272727273,16.29090909090909
6410,Granada,Málaga,0,2,2017-04-25,Estadio Nuevo Los Carmenes,Granada,Clos Gómez,GRANADA,18.724999999999998,0.05
6411,Atlético de Madrid,Villarreal,0,1,2017-04-25,Vicente Calderón,Madrid,Iglesias Villanueva,MADRID,15.184615384615382,3.830769230769232
6412,Deportivo de La Coruña,Real Madrid,2,6,2017-04-26,Estadio Municipal de Riazor,La Coruña,Sánchez Martínez,A CORUÑA,9.355555555555554,0.12222222222222223
6413,Barcelona,Osasuna,7,1,2017-04-26,Camp Nou,Barcelona,Munuera Montero,BARCELONA,11.416666666666666,16.76666666666667
6414,Leganés,Las Palmas,3,0,2017-04-26,Estadio Municipal de Butarque,Leganés,Bikandi Garrido,MADRID,10.738461538461538,0.4153846153846154
